Source;Target;Weight;Label;Type
IMPERIAL TOBACCO GROUP ;ZA;2;2;undirected
INTERCONTINENTAL HOTELS GROUP;ZA;1;1;undirected
INTERNATIONAL AIRLINES GROUP;ZA;1;1;undirected
INTERTEK  GROUP;ZA;5;5;undirected
JOHNSON MATTHEY;ZA;2;2;undirected
OLD MUTUAL;ZA;315;315;undirected
PEARSON;ZA;20;20;undirected
PETROFAC INC.;ZA;1;1;undirected
PRUDENTIAL;ZA;3;3;undirected
RANDGOLD RESOURCES;ZA;1;1;undirected
RECKITT BENCKISER GROUP;ZA;3;3;undirected
REED ELSEVIER GROUP;ZA;3;3;undirected
RIO TINTO;ZA;19;19;undirected
ROLLS-ROYCE GROUP;ZA;3;3;undirected
ROYAL DUTCH SHELL;ZA;13;13;undirected
SABMILLER;ZA;42;42;undirected
SERCO GROUP;ZA;7;7;undirected
SEVERN TRENT;ZA;1;1;undirected
SMITH & NEPHEW;ZA;4;4;undirected
SMITHS GROUP;ZA;4;4;undirected
STANDARD CHARTERED;ZA;1;1;undirected
TATE & LYLE;ZA;1;1;undirected
THE SAGE GROUP;ZA;4;4;undirected
THE WEIR GROUP;ZA;5;5;undirected
TULLOW OIL;ZA;2;2;undirected
UNILEVER;ZA;8;8;undirected
VEDANTA RESOURCES;ZA;2;2;undirected
VODAFONE GROUP;ZA;26;26;undirected
WPP;ZA;60;60;undirected
XSTRATA;ZA;57;57;undirected
AGGREKO;ZA;1;1;undirected
AMEC ;ZA;3;3;undirected
ANGLO AMERICAN;ZA;165;165;undirected
ASSOCIATED BRITISH FOODS ;ZA;18;18;undirected
ASTRAZENECA;ZA;3;3;undirected
AVIVA;FR;46;46;undirected
BAE SYSTEMS;FR;3;3;undirected
BARCLAYS;FR;9;9;undirected
BHP BILLITON;FR;1;1;undirected
BP;FR;47;47;undirected
BRITISH AMERICAN TOBACCO;FR;2;2;undirected
BT GROUP;FR;8;8;undirected
BUNZL;FR;21;21;undirected
BURBERRY GROUP;FR;1;1;undirected
CAPITA GROUP;FR;1;1;undirected
CARNIVAL;FR;1;1;undirected
COMPASS GROUP;FR;23;23;undirected
CRH;FR;8;8;undirected
CRODA INTERNATIONAL;FR;5;5;undirected
DIAGEO;FR;9;9;undirected
G4S;FR;3;3;undirected
GKN;FR;10;10;undirected
GLAXOSMITHKLINE;FR;10;10;undirected
GLENCORE INTERNATIONAL;FR;2;2;undirected
HAMMERSON;FR;34;34;undirected
HSBC;FR;131;131;undirected
IMI;FR;11;11;undirected
IMPERIAL TOBACCO GROUP ;FR;27;27;undirected
INTERCONTINENTAL HOTELS GROUP;FR;8;8;undirected
INTERNATIONAL AIRLINES GROUP;FR;1;1;undirected
INTERTEK  GROUP;FR;8;8;undirected
ITV;FR;1;1;undirected
JOHNSON MATTHEY;FR;1;1;undirected
KAZAKHMYS;FR;1;1;undirected
KINGFISHER;FR;32;32;undirected
LEGAL & GENERAL GROUP;FR;6;6;undirected
LLOYDS BANKING GROUP;FR;26;26;undirected
MEGGITT;FR;8;8;undirected
NATIONAL GRID;FR;1;1;undirected
OLD MUTUAL;FR;3;3;undirected
PEARSON;FR;1;1;undirected
PRUDENTIAL;FR;14;14;undirected
RECKITT BENCKISER GROUP;FR;6;6;undirected
REED ELSEVIER GROUP;FR;28;28;undirected
REXAM;FR;14;14;undirected
RIO TINTO;FR;32;32;undirected
ROLLS-ROYCE GROUP;FR;7;7;undirected
ROYAL DUTCH SHELL;FR;32;32;undirected
SABMILLER;FR;2;2;undirected
SCHRODERS;FR;1;1;undirected
SERCO GROUP;FR;3;3;undirected
SHIRE;FR;1;1;undirected
SMITH & NEPHEW;FR;5;5;undirected
SMITHS GROUP;FR;6;6;undirected
STANDARD CHARTERED;FR;1;1;undirected
STANDARD LIFE;FR;5;5;undirected
TATE & LYLE;FR;2;2;undirected
THE BRITISH LAND COMPANY;FR;3;3;undirected
THE ROYAL BANK OF SCOTLAND GROUP;FR;15;15;undirected
THE SAGE GROUP;FR;6;6;undirected
THE WEIR GROUP;FR;3;3;undirected
TULLOW OIL;FR;1;1;undirected
UNILEVER;FR;19;19;undirected
VODAFONE GROUP;FR;2;2;undirected
WOLSELEY;FR;23;23;undirected
WPP;FR;77;77;undirected
XSTRATA;FR;2;2;undirected
AGGREKO;FR;1;1;undirected
ANGLO AMERICAN;FR;1;1;undirected
ARM HOLDINGS;FR;1;1;undirected
ASSOCIATED BRITISH FOODS ;FR;4;4;undirected
ASTRAZENECA;FR;6;6;undirected
BABCOCK INTERNATIONAL GROUP ;DE;4;4;undirected
BAE SYSTEMS;DE;11;11;undirected
BARCLAYS;DE;13;13;undirected
BP;DE;101;101;undirected
BRITISH AMERICAN TOBACCO;DE;9;9;undirected
BRITISH SKY BROADCASTING GROUP;DE;5;5;undirected
BT GROUP;DE;6;6;undirected
BUNZL;DE;5;5;undirected
BURBERRY GROUP;DE;1;1;undirected
CAPITA GROUP;DE;1;1;undirected
CARNIVAL;DE;5;5;undirected
CENTRICA;DE;2;2;undirected
COMPASS GROUP;DE;18;18;undirected
CRH;DE;9;9;undirected
CRODA INTERNATIONAL;DE;2;2;undirected
DIAGEO;DE;5;5;undirected
G4S;DE;5;5;undirected
GKN;DE;29;29;undirected
GLAXOSMITHKLINE;DE;26;26;undirected
HAMMERSON;DE;2;2;undirected
HSBC;DE;31;31;undirected
ICAP;DE;6;6;undirected
IMI;DE;20;20;undirected
IMPERIAL TOBACCO GROUP ;DE;9;9;undirected
INTERCONTINENTAL HOTELS GROUP;DE;4;4;undirected
INTERNATIONAL AIRLINES GROUP;DE;2;2;undirected
INTERTEK  GROUP;DE;8;8;undirected
ITV;DE;2;2;undirected
JOHNSON MATTHEY;DE;9;9;undirected
KAZAKHMYS;DE;1;1;undirected
KINGFISHER;DE;2;2;undirected
LEGAL & GENERAL GROUP;DE;1;1;undirected
LLOYDS BANKING GROUP;DE;9;9;undirected
MEGGITT;DE;3;3;undirected
OLD MUTUAL;DE;8;8;undirected
PEARSON;DE;10;10;undirected
PRUDENTIAL;DE;10;10;undirected
RECKITT BENCKISER GROUP;DE;10;10;undirected
REED ELSEVIER GROUP;DE;13;13;undirected
REXAM;DE;12;12;undirected
RIO TINTO;DE;9;9;undirected
ROLLS-ROYCE GROUP;DE;14;14;undirected
ROYAL DUTCH SHELL;DE;61;61;undirected
SABMILLER;DE;2;2;undirected
SCHRODERS;DE;10;10;undirected
SERCO GROUP;DE;4;4;undirected
SHIRE;DE;6;6;undirected
SMITH & NEPHEW;DE;6;6;undirected
SMITHS GROUP;DE;11;11;undirected
STANDARD CHARTERED;DE;1;1;undirected
TATE & LYLE;DE;5;5;undirected
THE ROYAL BANK OF SCOTLAND GROUP;DE;12;12;undirected
THE SAGE GROUP;DE;8;8;undirected
THE WEIR GROUP;DE;1;1;undirected
UNILEVER;DE;24;24;undirected
VODAFONE GROUP;DE;14;14;undirected
WPP;DE;132;132;undirected
XSTRATA;DE;1;1;undirected
AGGREKO;DE;1;1;undirected
AMEC ;DE;6;6;undirected
ANGLO AMERICAN;DE;3;3;undirected
ARM HOLDINGS;DE;1;1;undirected
ASSOCIATED BRITISH FOODS ;DE;15;15;undirected
ASTRAZENECA;DE;8;8;undirected
AVIVA;IE;32;32;undirected
BABCOCK INTERNATIONAL GROUP ;IE;1;1;undirected
BARCLAYS;IE;13;13;undirected
BG GROUP;IE;2;2;undirected
BHP BILLITON;IE;3;3;undirected
BP;IE;2;2;undirected
BRITISH AMERICAN TOBACCO;IE;10;10;undirected
BRITISH SKY BROADCASTING GROUP;IE;2;2;undirected
BT GROUP;IE;12;12;undirected
BUNZL;IE;9;9;undirected
BURBERRY GROUP;IE;2;2;undirected
CAPITA GROUP;IE;14;14;undirected
CENTRICA;IE;1;1;undirected
COMPASS GROUP;IE;9;9;undirected
CRH;IE;8;8;undirected
DIAGEO;IE;62;62;undirected
EURASIAN NATURAL RESOURCES CORPORATION;IE;2;2;undirected
EXPERIAN;IE;3;3;undirected
G4S;IE;13;13;undirected
GLAXOSMITHKLINE;IE;10;10;undirected
HSBC;IE;14;14;undirected
ICAP;IE;2;2;undirected
IMI;IE;5;5;undirected
IMPERIAL TOBACCO GROUP ;IE;8;8;undirected
INTERCONTINENTAL HOTELS GROUP;IE;1;1;undirected
INTERTEK  GROUP;IE;1;1;undirected
ITV;IE;1;1;undirected
J SAINSBURY;IE;4;4;undirected
JOHNSON MATTHEY;IE;1;1;undirected
KINGFISHER;IE;4;4;undirected
LEGAL & GENERAL GROUP;IE;3;3;undirected
LLOYDS BANKING GROUP;IE;41;41;undirected
MARKS AND SPENCER GROUP;IE;4;4;undirected
NATIONAL GRID;IE;2;2;undirected
OLD MUTUAL;IE;9;9;undirected
PRUDENTIAL;IE;3;3;undirected
RECKITT BENCKISER GROUP;IE;11;11;undirected
REED ELSEVIER GROUP;IE;2;2;undirected
REXAM;IE;1;1;undirected
ROLLS-ROYCE GROUP;IE;1;1;undirected
ROYAL DUTCH SHELL;IE;9;9;undirected
RSA INSURANCE GROUP;IE;12;12;undirected
SABMILLER;IE;1;1;undirected
SCHRODERS;IE;1;1;undirected
SERCO GROUP;IE;1;1;undirected
SEVERN TRENT;IE;1;1;undirected
SHIRE;IE;14;14;undirected
SMITH & NEPHEW;IE;1;1;undirected
SMITHS GROUP;IE;3;3;undirected
SSE;IE;54;54;undirected
STANDARD CHARTERED;IE;30;30;undirected
STANDARD LIFE;IE;1;1;undirected
TESCO;IE;25;25;undirected
THE BRITISH LAND COMPANY;IE;5;5;undirected
THE ROYAL BANK OF SCOTLAND GROUP;IE;80;80;undirected
THE SAGE GROUP;IE;21;21;undirected
TULLOW OIL;IE;1;1;undirected
UNILEVER;IE;30;30;undirected
UNITED UTILITIES GROUP;IE;1;1;undirected
VEDANTA RESOURCES;IE;11;11;undirected
VODAFONE GROUP;IE;21;21;undirected
WHITBREAD;IE;2;2;undirected
WOLSELEY;IE;2;2;undirected
WPP;IE;44;44;undirected
XSTRATA;IE;4;4;undirected
AGGREKO;IE;1;1;undirected
ANGLO AMERICAN;IE;14;14;undirected
ARM HOLDINGS;IE;1;1;undirected
ASHMORE GROUP PLC;IE;1;1;undirected
ASSOCIATED BRITISH FOODS ;IE;15;15;undirected
ASTRAZENECA;IE;1;1;undirected
AVIVA;CA;17;17;undirected
BABCOCK INTERNATIONAL GROUP ;CA;5;5;undirected
BAE SYSTEMS;CA;3;3;undirected
BARCLAYS;CA;4;4;undirected
BG GROUP;CA;2;2;undirected
BHP BILLITON;CA;24;24;undirected
BP;CA;32;32;undirected
BRITISH AMERICAN TOBACCO;CA;22;22;undirected
BT GROUP;CA;4;4;undirected
BUNZL;CA;5;5;undirected
BURBERRY GROUP;CA;1;1;undirected
CARNIVAL;CA;2;2;undirected
CENTRICA;CA;10;10;undirected
COMPASS GROUP;CA;6;6;undirected
CRH;CA;2;2;undirected
CRODA INTERNATIONAL;CA;1;1;undirected
DIAGEO;CA;8;8;undirected
EURASIAN NATURAL RESOURCES CORPORATION;CA;2;2;undirected
EVRAZ PLC;CA;1;1;undirected
FRESNILLO;CA;1;1;undirected
G4S;CA;5;5;undirected
GKN;CA;2;2;undirected
GLAXOSMITHKLINE;CA;8;8;undirected
GLENCORE INTERNATIONAL;CA;2;2;undirected
HSBC;CA;68;68;undirected
ICAP;CA;1;1;undirected
IMI;CA;2;2;undirected
IMPERIAL TOBACCO GROUP ;CA;2;2;undirected
INTERCONTINENTAL HOTELS GROUP;CA;6;6;undirected
INTERTEK  GROUP;CA;10;10;undirected
JOHNSON MATTHEY;CA;2;2;undirected
