Entreprise;Code;Valeur
PEARSON;CH;1
RECKITT BENCKISER GROUP;CH;4
RIO TINTO;CH;5
ROLLS-ROYCE GROUP;CH;2
ROYAL DUTCH SHELL;CH;20
SABMILLER;CH;7
SCHRODERS;CH;4
SERCO GROUP;CH;1
SHIRE;CH;1
SMITH & NEPHEW;CH;5
SMITHS GROUP;CH;4
STANDARD CHARTERED;CH;1
TESCO;CH;2
THE ROYAL BANK OF SCOTLAND GROUP;CH;4
THE SAGE GROUP;CH;3
THE WEIR GROUP;CH;1
UNILEVER;CH;15
VODAFONE GROUP;CH;2
WOLSELEY;CH;4
WPP;CH;24
XSTRATA;CH;6
ANGLO AMERICAN;VG;24
ANTOFAGASTA;VG;4
ASSOCIATED BRITISH FOODS ;VG;1
BARCLAYS;VG;1
BG GROUP;VG;6
BHP BILLITON;VG;11
BP;VG;11
BRITISH AMERICAN TOBACCO;VG;1
BRITISH SKY BROADCASTING GROUP;VG;1
BT GROUP;VG;3
COMPASS GROUP;VG;1
DIAGEO;VG;1
EURASIAN NATURAL RESOURCES CORPORATION;VG;22
G4S;VG;7
GLAXOSMITHKLINE;VG;1
GLENCORE INTERNATIONAL;VG;1
HSBC;VG;29
ICAP;VG;2
IMPERIAL TOBACCO GROUP ;VG;2
INTERCONTINENTAL HOTELS GROUP;VG;5
INTERTEK  GROUP;VG;1
LLOYDS BANKING GROUP;VG;5
PEARSON;VG;1
PENNON;VG;1
PETROFAC INC.;VG;1
PRUDENTIAL;VG;6
RECKITT BENCKISER GROUP;VG;5
REED ELSEVIER GROUP;VG;1
RIO TINTO;VG;6
SABMILLER;VG;8
SHIRE;VG;1
STANDARD CHARTERED;VG;1
TATE & LYLE;VG;1
TESCO;VG;9
THE BRITISH LAND COMPANY;VG;1
THE ROYAL BANK OF SCOTLAND GROUP;VG;9
THE WEIR GROUP;VG;1
TULLOW OIL;VG;1
WHITBREAD;VG;6
WPP;VG;2
XSTRATA;VG;2
ASHMORE GROUP PLC;GG;11
ASSOCIATED BRITISH FOODS ;GG;1
AVIVA;GG;2
BABCOCK INTERNATIONAL GROUP ;GG;3
BARCLAYS;GG;13
BHP BILLITON;GG;2
BP;GG;3
BRITISH AMERICAN TOBACCO;GG;1
BRITISH SKY BROADCASTING GROUP;GG;2
CAPITA GROUP;GG;9
COMPASS GROUP;GG;1
CRODA INTERNATIONAL;GG;1
DIAGEO;GG;2
EURASIAN NATURAL RESOURCES CORPORATION;GG;2
G4S;GG;1
GLAXOSMITHKLINE;GG;1
HSBC;GG;22
IMPERIAL TOBACCO GROUP ;GG;2
INTERTEK  GROUP;GG;1
ITV;GG;1
J SAINSBURY;GG;1
KINGFISHER;GG;1
LAND SECURITIES GROUP;GG;1
LLOYDS BANKING GROUP;GG;21
MARKS AND SPENCER GROUP;GG;4
NEXT;GG;1
OLD MUTUAL;GG;11
PENNON;GG;2
PETROFAC INC.;GG;1
PRUDENTIAL;GG;5
RECKITT BENCKISER GROUP;GG;4
RESOLUTION;GG;3
REXAM;GG;2
ROLLS-ROYCE GROUP;GG;1
RSA INSURANCE GROUP;GG;2
SABMILLER;GG;2
SCHRODERS;GG;12
SERCO GROUP;GG;1
SMITHS GROUP;GG;1
STANDARD CHARTERED;GG;6
STANDARD LIFE;GG;3
TESCO;GG;2
THE BRITISH LAND COMPANY;GG;2
THE ROYAL BANK OF SCOTLAND GROUP;GG;15
TULLOW OIL;GG;3
VODAFONE GROUP;GG;3
WM MORRISON SUPERMARKETS;GG;1
WOLSELEY;GG;7
WPP;GG;3
XSTRATA;GG;1
AMEC ;BM;2
ANGLO AMERICAN;BM;3
ANTOFAGASTA;BM;1
AVIVA;BM;4
BARCLAYS;BM;1
BHP BILLITON;BM;3
BP;BM;7
BT GROUP;BM;2
CARNIVAL;BM;3
DIAGEO;BM;1
GLAXOSMITHKLINE;BM;3
GLENCORE INTERNATIONAL;BM;3
HSBC;BM;25
IMI;BM;1
IMPERIAL TOBACCO GROUP ;BM;1
INTERCONTINENTAL HOTELS GROUP;BM;3
INTERNATIONAL AIRLINES GROUP;BM;3
INTERTEK  GROUP;BM;1
JOHNSON MATTHEY;BM;1
LEGAL & GENERAL GROUP;BM;2
OLD MUTUAL;BM;7
PEARSON;BM;1
PRUDENTIAL;BM;1
RECKITT BENCKISER GROUP;BM;1
RIO TINTO;BM;6
ROYAL DUTCH SHELL;BM;38
SCHRODERS;BM;9
SERCO GROUP;BM;1
SHIRE;BM;1
STANDARD CHARTERED;BM;1
STANDARD LIFE;BM;1
TATE & LYLE;BM;1
THE ROYAL BANK OF SCOTLAND GROUP;BM;3
UNILEVER;BM;4
WHITBREAD;BM;1
WPP;BM;1
XSTRATA;BM;16
AGGREKO;MU;1
ANGLO AMERICAN;MU;4
ASHMORE GROUP PLC;MU;4
ASSOCIATED BRITISH FOODS ;MU;6
AVIVA;MU;1
BARCLAYS;MU;5
BG GROUP;MU;2
BP;MU;1
BT GROUP;MU;2
CAPITAL SHOPPING CENTRES GROUP;MU;1
COMPASS GROUP;MU;2
DIAGEO;MU;2
EURASIAN NATURAL RESOURCES CORPORATION;MU;3
G4S;MU;8
GLAXOSMITHKLINE;MU;2
HSBC;MU;8
INTERCONTINENTAL HOTELS GROUP;MU;1
INTERTEK  GROUP;MU;1
OLD MUTUAL;MU;5
PRUDENTIAL;MU;10
RIO TINTO;MU;8
ROYAL DUTCH SHELL;MU;4
SABMILLER;MU;11
SERCO GROUP;MU;5
STANDARD CHARTERED;MU;8
STANDARD LIFE;MU;4
TESCO;MU;1
THE ROYAL BANK OF SCOTLAND GROUP;MU;1
VEDANTA RESOURCES;MU;10
VODAFONE GROUP;MU;22
WPP;MU;4
XSTRATA;MU;1
ANGLO AMERICAN;IM;6
BAE SYSTEMS;IM;2
BARCLAYS;IM;28
BP;IM;1
BRITISH AMERICAN TOBACCO;IM;4
BT GROUP;IM;9
CAPITA GROUP;IM;3
CAPITAL SHOPPING CENTRES GROUP;IM;1
CENTRICA;IM;4
COMPASS GROUP;IM;2
EURASIAN NATURAL RESOURCES CORPORATION;IM;1
G4S;IM;1
GKN;IM;1
HAMMERSON;IM;1
HSBC;IM;7
IMPERIAL TOBACCO GROUP ;IM;1
INTERNATIONAL AIRLINES GROUP;IM;1
J SAINSBURY;IM;1
LAND SECURITIES GROUP;IM;1
LLOYDS BANKING GROUP;IM;10
MARKS AND SPENCER GROUP;IM;1
NATIONAL GRID;IM;3
OLD MUTUAL;IM;17
RESOLUTION;IM;1
ROYAL DUTCH SHELL;IM;4
RSA INSURANCE GROUP;IM;5
SABMILLER;IM;2
SSE;IM;1
STANDARD CHARTERED;IM;2
STANDARD LIFE;IM;2
THE BRITISH LAND COMPANY;IM;1
THE ROYAL BANK OF SCOTLAND GROUP;IM;6
TULLOW OIL;IM;9
UNITED UTILITIES GROUP;IM;1
WM MORRISON SUPERMARKETS;IM;1
WOLSELEY;IM;1
XSTRATA;IM;3
AGGREKO;PA;1
ASTRAZENECA;PA;1
BAE SYSTEMS;PA;1
BHP BILLITON;PA;1
BP;PA;1
BRITISH AMERICAN TOBACCO;PA;5
BT GROUP;PA;2
DIAGEO;PA;2
G4S;PA;12
GLAXOSMITHKLINE;PA;2
HSBC;PA;16
IMPERIAL TOBACCO GROUP ;PA;1
INTERTEK  GROUP;PA;1
LLOYDS BANKING GROUP;PA;1
RIO TINTO;PA;1
ROYAL DUTCH SHELL;PA;2
SABMILLER;PA;12
UNILEVER;PA;1
WOLSELEY;PA;1
WPP;PA;6
AGGREKO;CY;1
AMEC ;CY;1
ANGLO AMERICAN;CY;2
BABCOCK INTERNATIONAL GROUP ;CY;1
BARCLAYS;CY;2
BP;CY;3
BRITISH AMERICAN TOBACCO;CY;4
BT GROUP;CY;1
CAPITA GROUP;CY;2
COMPASS GROUP;CY;3
DIAGEO;CY;2
EVRAZ PLC;CY;1
G4S;CY;5
GLAXOSMITHKLINE;CY;1
IMPERIAL TOBACCO GROUP ;CY;2
INTERCONTINENTAL HOTELS GROUP;CY;7
MARKS AND SPENCER GROUP;CY;1
PEARSON;CY;2
PETROFAC INC.;CY;2
RECKITT BENCKISER GROUP;CY;1
REXAM;CY;1
RIO TINTO;CY;3
ROYAL DUTCH SHELL;CY;1
SABMILLER;CY;3
SCHRODERS;CY;1
STANDARD CHARTERED;CY;1
UNILEVER;CY;2
VEDANTA RESOURCES;CY;3
VODAFONE GROUP;CY;1
WPP;CY;2
XSTRATA;CY;1
AMEC ;BS;1
AVIVA;BS;1
BARCLAYS;BS;1
BP;BS;8
HSBC;BS;24
IMPERIAL TOBACCO GROUP ;BS;1
INTERTEK  GROUP;BS;1
LLOYDS BANKING GROUP;BS;7
OLD MUTUAL;BS;1
ROYAL DUTCH SHELL;BS;3
STANDARD LIFE;BS;2
THE ROYAL BANK OF SCOTLAND GROUP;BS;1
THE SAGE GROUP;BS;1
ADMIRAL GROUP;GI;1
BARCLAYS;GI;2
BT GROUP;GI;1
ICAP;GI;6
INTERCONTINENTAL HOTELS GROUP;GI;2
LLOYDS BANKING GROUP;GI;2
MARKS AND SPENCER GROUP;GI;1
NATIONAL GRID;GI;1
PRUDENTIAL;GI;8
SABMILLER;GI;1
SEVERN TRENT;GI;1
SMITHS GROUP;GI;1
TATE & LYLE;GI;1
THE ROYAL BANK OF SCOTLAND GROUP;GI;8
WM MORRISON SUPERMARKETS;GI;3
WOLSELEY;GI;1
AGGREKO;CR;1
ASTRAZENECA;CR;1
BRITISH AMERICAN TOBACCO;CR;2
BT GROUP;CR;2
COMPASS GROUP;CR;1
DIAGEO;CR;3
G4S;CR;3
GLAXOSMITHKLINE;CR;3
HSBC;CR;7
INTERTEK  GROUP;CR;1
MARKS AND SPENCER GROUP;CR;1
RECKITT BENCKISER GROUP;CR;1
SMITHS GROUP;CR;1
UNILEVER;CR;2
WOLSELEY;CR;1
WPP;CR;3
AVIVA;BB;1
BAE SYSTEMS;BB;1
BP;BB;2
BRITISH AMERICAN TOBACCO;BB;4
BT GROUP;BB;1
G4S;BB;1
HSBC;BB;2
INTERCONTINENTAL HOTELS GROUP;BB;2
RIO TINTO;BB;6
ROYAL DUTCH SHELL;BB;3
SHIRE;BB;2
THE ROYAL BANK OF SCOTLAND GROUP;BB;1
WOLSELEY;BB;1
XSTRATA;BB;5
BABCOCK INTERNATIONAL GROUP ;MT;1
BRITISH AMERICAN TOBACCO;MT;3
BT GROUP;MT;1
CAPITA GROUP;MT;1
COMPASS GROUP;MT;1
G4S;MT;1
GLAXOSMITHKLINE;MT;1
HSBC;MT;7
